"TransactionID","StudentNumber","StartTime","UploadTime","ModuleCode"
"R123 699 460 ","13648698","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1118"
"R123 897 832 ","32248175","0000-00-00 00:00:00","0000-00-00 00:00:00","ELE2561"
"R124 530 497 ","12578773","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1017"
"R124 601 238 ","22423651","0000-00-00 00:00:00","0000-00-00 00:00:00","MAT2612"
"R125 633 754 ","21121001","0000-00-00 00:00:00","2011-09-21 00:00:00","ENG1016"
"R125 911 622 ","36709518","0000-00-00 00:00:00","0000-00-00 00:00:00","MAT2612"
"R126 480 692 ","17783577","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT3722"
"R126 703 678 ","16772771","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE4801"
"R126 804 230 ","19993535","0000-00-00 00:00:00","2011-07-13 00:00:00","ELE2561"
"R126 902 452 ","11702638","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT3722"
"R126 967 832 ","30003048","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1117"
"R127 295 788 ","19477167","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1014"
"R127 464 708 ","35728110","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2611"
"R127 480 754 ","29291585","2011-02-15 00:00:00","0000-00-00 00:00:00","CHE2611"
"R127 756 795 ","33179910","0000-00-00 00:00:00","0000-00-00 00:00:00","ELE2561"
"R127 847 703 ","16261323","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE4801"
"R127 955 284 ","32799004","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3703"
"R128 880 707 ","28466672","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1113"
"R129 266 845 ","24928278","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1015"
"R129 979 372 ","28068948","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1014"
"R130 350 616 ","25694171","0000-00-00 00:00:00","0000-00-00 00:00:00","AST2652"
"R130 659 858 ","32762076","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2613"
"R130 780 213 ","31981659","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1120"
"R131 147 240 ","17041718","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2611"
"R131 364 577 ","14705716","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R131 400 230 ","29778773","0000-00-00 00:00:00","0000-00-00 00:00:00","ELE2561"
"R131 451 681 ","11357287","0000-00-00 00:00:00","0000-00-00 00:00:00","MAT2612"
"R131 584 464 ","22668071","2010-11-30 00:00:00","0000-00-00 00:00:00","ENG1015"
"R131 917 891 ","30994050","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE181T"
"R132 171 877 ","12068986","2010-07-27 00:00:00","0000-00-00 00:00:00","MAT2612"
"R132 408 157 ","27293487","2011-02-05 00:00:00","0000-00-00 00:00:00","ICT1113"
"R132 473 784 ","30545776","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT3611"
"R132 621 443 ","20369416","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1018"
"R132 691 938 ","16310149","0000-00-00 00:00:00","0000-00-00 00:00:00","AST2652"
"R132 698 435 ","11296841","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT2612"
"R133 183 260 ","26555817","2010-06-11 00:00:00","2011-07-06 00:00:00","ENG1013"
"R133 497 583 ","25697925","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1015"
"R133 646 903 ","30809565","2010-01-08 00:00:00","0000-00-00 00:00:00","ELE2561"
"R133 759 007 ","23093600","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1011"
"R134 042 450 ","16955202","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT2612"
"R134 054 971 ","19051739","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1113"
"R134 068 733 ","26988156","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R134 080 921 ","30810877","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1011"
"R134 248 447 ","36514898","0000-00-00 00:00:00","0000-00-00 00:00:00","ELE2561"
"R134 418 398 ","28193810","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1114"
"R134 694 339 ","36697237","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT3722"
"R135 510 256 ","21720526","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1116"
"R136 041 677 ","18282944","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT2612"
"R136 056 038 ","13227992","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE4801"
"R136 074 459 ","28828471","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1112"
"R136 091 607 ","21204038","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1018"
"R136 210 951 ","15695470","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1013"
"R137 008 178 ","27674097","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1116"
"R137 240 613 ","25022512","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1017"
"R137 379 379 ","33456689","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1116"
"R137 682 667 ","22942838","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2613"
"R137 851 737 ","27946543","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R137 862 067 ","24525605","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1116"
"R138 107 295 ","20940841","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2613"
"R138 186 477 ","14342763","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1113"
"R138 472 395 ","25208100","2010-05-10 00:00:00","0000-00-00 00:00:00","ICT1113"
"R139 241 575 ","13211140","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1016"
"R139 341 911 ","32383831","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1120"
"R139 386 807 ","19907026","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1118"
"R139 403 289 ","36471484","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1111"
"R139 706 849 ","14349887","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R139 820 852 ","23531593","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE4801"
"R140 342 817 ","17007350","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1115"
"R141 280 196 ","29469433","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1113"
"R141 956 564 ","28680871","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE181T"
"R142 063 722 ","17969045","0000-00-00 00:00:00","2011-02-07 00:00:00","ENG1012"
"R142 303 705 ","23863333","2010-03-23 00:00:00","0000-00-00 00:00:00","ICT1115"
"R142 598 512 ","16262151","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT3722"
"R142 605 589 ","36747454","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE181T"
"R143 878 090 ","18769443","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1014"
"R144 651 717 ","33881606","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1113"
"R144 801 354 ","29681720","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1116"
"R145 055 383 ","15704367","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1014"
"R145 113 754 ","34830392","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1114"
"R145 627 826 ","13470238","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1111"
"R146 303 489 ","14566543","0000-00-00 00:00:00","0000-00-00 00:00:00","AST2652"
"R146 330 126 ","19335964","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3701"
"R146 380 077 ","16646683","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1112"
"R146 550 849 ","12556180","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R146 792 265 ","27043946","0000-00-00 00:00:00","0000-00-00 00:00:00","ELE2561"
"R146 875 131 ","35899511","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1116"
"R147 231 229 ","33749523","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE181T"
"R148 041 491 ","35852591","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1112"
"R148 428 205 ","32011073","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1011"
"R148 486 000 ","25729892","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1017"
"R148 824 731 ","33081044","2011-05-17 00:00:00","0000-00-00 00:00:00","CHE181T"
"R149 343 117 ","19386002","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R149 887 208 ","18724857","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE4801"
"R150 192 274 ","15169904","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1118"
"R150 413 756 ","24361284","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1014"
"R150 770 490 ","35013929","0000-00-00 00:00:00","2011-01-15 00:00:00","ICT1120"
"R150 899 617 ","26809312","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1120"
"R151 795 849 ","12427903","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1111"
"R152 086 273 ","22281430","0000-00-00 00:00:00","0000-00-00 00:00:00","AST2652"
"R152 190 543 ","25788212","2011-09-10 00:00:00","0000-00-00 00:00:00","ICT1112"
"R152 582 982 ","32338837","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1117"
"R153 223 842 ","23541540","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1118"
"R153 347 678 ","11963068","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3701"
"R153 625 963 ","29946627","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R153 778 780 ","18505261","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT2612"
"R153 827 694 ","31417943","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT2612"
"R154 188 784 ","25458552","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1016"
"R154 380 236 ","35282030","0000-00-00 00:00:00","2011-01-27 00:00:00","CHE4801"
"R154 608 816 ","11582146","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1012"
"R154 772 338 ","21238354","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1112"
"R155 152 086 ","35883286","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1012"
"R155 589 592 ","16470267","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1117"
"R155 604 566 ","21396039","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1115"
"R155 642 986 ","35609323","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1120"
"R156 447 106 ","18769443","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT3611"
"R156 452 881 ","33203054","0000-00-00 00:00:00","0000-00-00 00:00:00","MAT2612"
"R156 684 756 ","16088954","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1112"
"R157 406 324 ","22677805","2010-07-17 00:00:00","0000-00-00 00:00:00","ENG1018"
"R157 561 835 ","36386884","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1012"
"R157 657 516 ","12851032","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1113"
"R158 519 077 ","21780780","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1119"
"R158 625 300 ","14100807","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1013"
"R158 964 176 ","18675629","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2611"
"R159 373 960 ","13896998","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3703"
"R159 666 143 ","27762313","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT3611"
"R159 704 371 ","31712758","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1019"
"R160 226 597 ","33160028","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3703"
"R160 278 834 ","26541758","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1013"
"R160 350 383 ","36709518","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1112"
"R160 524 060 ","15169443","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1117"
"R160 800 386 ","14886863","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1012"
"R161 466 656 ","23541540","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1011"
"R161 535 589 ","22934726","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2611"
"R161 841 620 ","22637781","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1014"
"R161 851 680 ","20270487","0000-00-00 00:00:00","2011-05-10 00:00:00","ENG1011"
"R161 995 559 ","22575113","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE4801"
"R162 474 942 ","20356540","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1119"
"R162 581 617 ","19907026","0000-00-00 00:00:00","2011-06-02 00:00:00","CHE3701"
"R162 801 446 ","21956532","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1016"
"R162 881 377 ","21552062","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2613"
"R163 771 166 ","28977818","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1111"
"R164 211 291 ","25464407","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1017"
"R164 649 622 ","36672242","2011-05-19 00:00:00","0000-00-00 00:00:00","ICT2612"
"R165 051 937 ","24288659","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1012"
"R165 125 312 ","30472996","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1013"
"R165 164 963 ","30085137","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT2612"
"R165 536 651 ","11162384","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE181T"
"R165 782 259 ","14287247","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1014"
"R166 061 381 ","23164966","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1019"
"R166 383 794 ","14899828","2011-07-24 00:00:00","0000-00-00 00:00:00","ENG1014"
"R166 718 346 ","31883757","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1120"
"R166 827 323 ","12400648","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1017"
"R166 847 682 ","36459938","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3703"
"R166 871 289 ","26809312","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT2612"
"R167 158 389 ","18171128","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1115"
"R167 374 049 ","14828207","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1111"
"R167 742 018 ","32639939","0000-00-00 00:00:00","0000-00-00 00:00:00","MAT2612"
"R168 173 765 ","29670465","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1114"
"R168 394 306 ","12881786","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1115"
"R168 435 689 ","33327462","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2611"
"R168 463 952 ","26112064","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1120"
"R168 513 576 ","17154037","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2613"
"R168 860 089 ","32334522","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1116"
"R168 996 997 ","19621909","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE4801"
"R169 379 799 ","21763473","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1019"
"R169 911 458 ","21979671","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3701"
"R170 021 576 ","29278472","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE181T"
"R170 570 394 ","33160028","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1119"
"R170 580 795 ","25468753","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1019"
"R170 682 107 ","27560845","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1019"
"R171 257 053 ","25615604","0000-00-00 00:00:00","2011-01-07 00:00:00","ICT1120"
"R171 483 432 ","33905133","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1116"
"R171 761 401 ","18243357","0000-00-00 00:00:00","0000-00-00 00:00:00","ELE2561"
"R172 091 193 ","26121606","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT2612"
"R172 267 753 ","25112198","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1019"
"R172 606 403 ","30804218","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1112"
"R172 800 539 ","18453258","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1116"
"R173 901 666 ","33218088","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1013"
"R175 236 980 ","20315604","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1014"
"R175 456 466 ","29176251","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT3722"
"R175 518 110 ","17007350","0000-00-00 00:00:00","0000-00-00 00:00:00","MAT2612"
"R175 648 309 ","14644919","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2611"
"R175 756 832 ","26099084","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R175 927 033 ","35146167","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1015"
"R176 126 858 ","34473964","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1115"
"R176 194 593 ","27290685","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1111"
"R176 853 980 ","14028044","0000-00-00 00:00:00","0000-00-00 00:00:00","ELE2561"
"R177 102 838 ","14328446","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE181T"
"R177 329 504 ","21420928","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1116"
"R177 697 243 ","24260055","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R177 713 528 ","14769147","2011-01-17 00:00:00","0000-00-00 00:00:00","ICT3722"
"R177 869 548 ","13156393","0000-00-00 00:00:00","2011-02-20 00:00:00","ENG1013"
"R178 264 591 ","27521467","0000-00-00 00:00:00","2011-08-01 00:00:00","ENG1014"
"R179 684 382 ","11260693","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2613"
"R179 755 528 ","28519923","0000-00-00 00:00:00","2011-02-08 00:00:00","CHE181T"
"R179 925 812 ","18895040","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE4801"
"R180 002 436 ","33580225","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1117"
"R181 132 606 ","21017255","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE1504"
"R181 281 660 ","25589897","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1119"
"R181 502 026 ","23523730","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R181 718 181 ","14432975","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1012"
"R181 782 516 ","35883286","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1115"
"R181 801 558 ","12078173","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1017"
"R181 989 431 ","26016495","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1115"
"R182 316 658 ","22839661","2011-04-05 00:00:00","0000-00-00 00:00:00","ICT1120"
"R182 517 612 ","21837795","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1013"
"R182 659 095 ","26388329","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1019"
"R183 210 863 ","16176156","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE1504"
"R183 345 666 ","32268771","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1011"
"R184 239 027 ","27463145","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT3611"
"R184 945 541 ","26388329","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3701"
"R185 061 070 ","25941104","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT3611"
"R185 777 805 ","16701599","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2613"
"R186 181 837 ","15050636","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1019"
"R186 517 724 ","32935365","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1118"
"R187 553 296 ","31509045","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3701"
"R187 879 467 ","30819227","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1013"
"R188 375 405 ","21586559","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1016"
"R188 568 336 ","25221097","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1114"
"R188 911 795 ","29182557","0000-00-00 00:00:00","2011-08-10 00:00:00","MAT2612"
"R189 040 200 ","12374529","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1117"
"R189 654 728 ","14100807","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1018"
"R189 755 313 ","30129983","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1114"
"R189 770 273 ","34308316","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2611"
"R189 937 378 ","26649090","2010-08-04 00:00:00","0000-00-00 00:00:00","ICT1111"
"R190 105 549 ","25106490","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1114"
"R190 111 742 ","18397100","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3703"
"R190 359 495 ","29686362","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1117"
"R190 595 103 ","30810877","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1114"
"R191 019 325 ","33573637","0000-00-00 00:00:00","2011-11-04 00:00:00","ICT1115"
"R191 130 234 ","34362106","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1019"
"R191 232 239 ","23388406","0000-00-00 00:00:00","0000-00-00 00:00:00","AST2652"
"R191 348 182 ","33403776","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1113"
"R191 476 453 ","23062784","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE4801"
"R191 885 223 ","30230767","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R191 888 701 ","30102439","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1111"
"R192 099 307 ","29681720","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2611"
"R192 196 583 ","17113211","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1012"
"R192 558 944 ","28827117","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1111"
"R192 672 022 ","33891597","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1114"
"R192 946 694 ","24114868","0000-00-00 00:00:00","2011-05-12 00:00:00","ENG1015"
"R193 148 838 ","28227531","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1012"
"R193 300 429 ","17969045","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R193 379 853 ","25393304","0000-00-00 00:00:00","2011-12-14 00:00:00","CHE4801"
"R193 890 277 ","12010166","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3704"
"R194 471 675 ","18285403","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1014"
"R194 778 132 ","23607627","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1120"
"R194 830 767 ","18739862","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1012"
"R194 867 368 ","23334384","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1012"
"R195 098 509 ","22839661","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1118"
"R195 242 841 ","26324124","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE1504"
"R195 311 716 ","31207469","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1113"
"R195 479 342 ","21586559","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE4801"
"R195 542 267 ","20421432","0000-00-00 00:00:00","0000-00-00 00:00:00","MAT2612"
